epoch,train_loss,val_loss,val_rmse,val_real_rmse,val_endpoint_mae,val_real_endpoint_mae,lr,violations,nfe,skipped_batches
1,0.012649213377193923,0.019861604490870377,0.21670402521229548,0.21670402521229548,0.18963293358683586,0.18963293358683586,7.994586662280567e-05,0.0,57.25,0
2,0.012678026401570404,0.019515632528054994,0.2140944966953176,0.2140944966953176,0.18965064780786633,0.18965064780786633,7.97836148670468e-05,0.0,57.916666666666664,0
3,0.01307020576822203,0.020281429984606802,0.21821188703698804,0.21821188703698804,0.1959775574505329,0.1959775574505329,7.951368945350794e-05,0.0,57.833333333333336,0
4,0.012946764136561088,0.01932257717999164,0.21310916044409514,0.21310916044409514,0.1877773506566882,0.1877773506566882,7.913683022898533e-05,0.0,57.833333333333336,0
5,0.012814509312091913,0.019234477229474578,0.21266542685915474,0.21266542685915474,0.18689879309386015,0.18689879309386015,7.86540701384182e-05,0.0,57.333333333333336,0
6,0.012875236347705746,0.01920209534728201,0.21243568314962114,0.21243568314962114,0.18679325887933373,0.18679325887933373,7.806673239365857e-05,0.0,58.0,0
7,0.012823833709666764,0.023926568115712143,0.2378448004773756,0.2378448004773756,0.22372796712443233,0.22372796712443233,7.737642684663947e-05,0.0,58.0,0
8,0.013461651906254701,0.019160366704454646,0.21271535603797861,0.21271535603797861,0.18415734078735113,0.18415734078735113,7.658504557688273e-05,0.0,58.0,0
9,0.012721449814307562,0.020172996271867305,0.21763372493509378,0.21763372493509378,0.19520628452301025,0.19520628452301025,7.569475770544053e-05,0.0,57.833333333333336,0
10,0.012577329640205588,0.020533779352263082,0.21949289056127672,0.21949289056127672,0.1987309679389,0.1987309679389,7.470800344948533e-05,0.0,58.333333333333336,0
11,0.012601223666630782,0.01923645472561475,0.2126647027704706,0.2126647027704706,0.18685202719643712,0.18685202719643712,7.362748743384424e-05,0.0,58.333333333333336,0
12,0.012441772809729123,0.01961048392513476,0.21527422792306675,0.21527422792306675,0.18736262386664748,0.18736262386664748,7.245617127781041e-05,0.0,58.5,0
13,0.012517083217971958,0.019323590546264313,0.21311784191086225,0.21311784191086225,0.1875950274989009,0.1875950274989009,7.119726547755035e-05,0.0,58.416666666666664,0
14,0.012825416541343455,0.019983742509793956,0.21676678335592922,0.21676678335592922,0.193088770378381,0.193088770378381,6.985422060635706e-05,0.0,59.0,0
15,0.012289681050893996,0.020849879955221695,0.22265458241166847,0.22265458241166847,0.19434342673048377,0.19434342673048377,6.843071785686861e-05,0.0,58.333333333333336,0
16,0.013147554345626608,0.021261492773192003,0.22357170086494074,0.22357170086494074,0.20403304835781455,0.20403304835781455,6.693065895117489e-05,0.0,58.333333333333336,0
